Philippines,PHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.149,47.408
Palau,PLW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.47,80.988
Papua New Guinea,PNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.25,13.345
Poland,POL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.037,60.043
Pre-demographic dividend,PRE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.77645383,42.33047847
Puerto Rico,PRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.576,93.581
"Korea, Dem. People's Rep.",PRK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.134,62.381
Portugal,PRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.764,66.31
Paraguay,PRY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.879,62.183
West Bank and Gaza,PSE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.44,76.719
Pacific island small states,PSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.99398964,39.25788752
Post-demographic dividend,PST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.47141106,81.65634174
French Polynesia,PYF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.897,61.975
Qatar,QAT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,99.188,99.235
Romania,ROU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.084,54.194
Russian Federation,RUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.587,74.754
Rwanda,RWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.313,17.432
South Asia,SAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.43189734,34.88229313
Saudi Arabia,SAU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.065,84.287
Sudan,SDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.936,35.253
Senegal,SEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.653,48.122
Singapore,SGP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.21,24.67
Sierra Leone,SLE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.484,42.923
El Salvador,SLV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.746,73.444
San Marino,SMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.368,97.499
Somalia,SOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.554,46.141
Serbia,SRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.26,56.446
Sub-Saharan Africa (excluding high income),SSA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.7113316,41.25073002
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.899,20.199
Sub-Saharan Africa,SSF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.71277863,41.25214235
Small states,SST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.15728367,59.5829933
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.598,74.354
Suriname,SUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.095,66.149
Slovak Republic,SVK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.729,53.76
Slovenia,SVN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.822,55.118
Sweden,SWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.708,87.977
Eswatini,SWZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.981,24.171
Sint Maarten (Dutch part),SXM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Seychelles,SYC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.119,57.546
Syrian Arab Republic,SYR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.821,55.475
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.36,93.605
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.279,23.52
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.51894137,57.43665076
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.50087513,66.67574023
Togo,TGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.248,42.8
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.692,51.43
Tajikistan,TJK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.309,27.506
Turkmenistan,TKM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.048,52.516
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.89434873,81.14610341
Timor-Leste,TLS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.947,31.32
Middle East & North Africa (IDA & IBRD countries),TMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.72638995,62.03174643
Tonga,TON,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.107,23.099
South Asia (IDA & IBRD),TSA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.43189734,34.88229313
Sub-Saharan Africa (IDA & IBRD countries),TSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.71277863,41.25214235
Trinidad and Tobago,TTO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.187,53.214
Tunisia,TUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.254,69.568
Turkey,TUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.63,76.105
Tuvalu,TUV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.215,64.014
Tanzania,TZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.5,35.227
Uganda,UGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.361,24.954
